tablet_id	label	transliteration
1	KN Nc 4470	KN Nc 4470, pu-ru[-•-]ta _ [
10	KN Nc 4485	KN Nc 4485, ]-di-mi-zo[
1000	KN Ag ‹322›	KN Ag ‹322›, ]wo-ni-jo[
1001	KN Xd ‹323›	KN Xd ‹323›, ]a-ri-we-we[
1002	KN Ag ‹324›	KN Ag ‹324›, a-ta-wo-ne[
1003	KN Xd ‹325›	KN Xd ‹325›, we-wa[
1004	KN Xd ‹326›	KN Xd ‹326›, ]no-da-ma[
1005	KN Xd ‹327›	KN Xd ‹327›, e-ri-ra-i°[
1006	KN Xd ‹328›	KN Xd ‹328›, ]pa-*34-so[
1007	KN Xd ‹329›	KN Xd ‹329›, ]r°e°-mi-si-jo
1008	KN Xd ‹330›	KN Xd ‹330›, ra-wo-te[
1009	KN Xd ‹331›	KN Xd ‹331›, a-pu₂-ka[
101	KN Np(1) 7967	KN Np(1) 7967, ]-ra-to[
1010	KN Xd ‹332›	KN Xd ‹332›, ]ja / i-da-wo[
1011	KN Xd ‹333›	KN Xd ‹333›, ze-pu[
1012	KN Xd ‹334›	KN Xd ‹334›, ]mo / ke-to-ri[
1013	KN Xd ‹335›	KN Xd ‹335›, ]ke-si-jo , ri[
1014	KN Xd ‹336›	KN Xd ‹336›, ]pe-ra-te-ro[
1015	KN Xd(5) 5097	KN Xd(5) 5097, a-ka-mu-[
1016	KN Xd 5838	KN Xd 5838, di-[
1017	KN Sc(6) 5969	KN Sc(6) 5969, ]je-wa[
1018	KN F(1) 7259	KN F(1) 7259, ]O°L°E° 4 [
1019	KN Xd 7510	KN Xd 7510, ]q°e°-[
102	KN Np(2) 8003	KN Np(2) 8003, ]N 1
1020	KN Xd 7547	KN Xd 7547, _ $sup. $mut. _ ]$vest.[ o°-wo-ta[ ki-ni-[ o-ta-k°e°[ _ $vest.[ _ $vest.[ _ $inf. $mut.
1021	KN Sc(3) 7555	KN Sc(3) 7555, i-wi-ro _ [
1022	KN Vc(2) 7558	KN Vc(2) 7558, o-ko-te[
1023	KN Xd(5) 7570	KN Xd(5) 7570, a-na-pe-we[
1024	KN Xd 7586	KN Xd 7586, mo-ro-qa[
1025	KN Sc(3) 7588	KN Sc(3) 7588, pi-ri-j°a°[
1026	KN Xd 7590	KN Xd 7590, ti-ri-t°o°[
1027	KN Vc(2) 7595	KN Vc(2) 7595, ]ru-ko-si-[
1028	KN Sc(3) 7596	KN Sc(3) 7596, e-na-i[
