scan	beast	blade	verdict	reason	context
A	ara	hjo	NOT-AGENT:kenning	"""ara fitjar"" inside a kenning; hjo has a warrior as subject"	5 belg hjo fyr mer svalt haettlig und hringa boggvir snoggvan hnitsol ara fitjar en fyr aleifi felli guor mebal fjalla pi ok verju fetils troll
A	ulfs	sker	FALSE-POSITIVE	"""sker"" is the NOUN skerry; Ulfsfot/Sota are place-names"	kank til margs en manna minni fyrsta sinni hann rau5 aestr fyr austan ulfs fot vi5 sker sota 2 far vas enn es gnnur aleifr ne svik fplusk odda i
A	ara	skorit	TARGET	Sigvatr, Knutsdrapa st.1 -- the disputed passage itself	til dyrdar djuprpo kona stjiipi 1 ok ellu bak at let hinn s sat ivarr ara jorvik skorit 2 ok senn sonu slo hvern ok jpo adali aos eda ilt flaem
A	ara	skorit	TARGET	Sigvatr, Knutsdrapa st.1 -- the disputed passage itself	kvinden hende 10 1 ok ivarr hinn s sat at jorvik let bak ellu skorit ara og ivar han som residerede i york ristede om pa ellas ryg 2 ok kniitr
A	ari	sker	WINDOW-ARTEFACT	blade token is the tail of the previous stanza; this stanza is pure feeding: orn drekkr, ylgr faer undorn, ulfr rydr kjopt, ari getr verd	sker 4 qrn drekkr sylg ylgr faer undarn af hraeum opt rydr ulfr kjopt ari getr j ar ver5 ornen far sig drik ulvinden far fode af ligene ofte ro
A	ulfr	klauf	NOT-AGENT:separate	wolf howls over corpses; klauf has the warrior as subject	jota sveins vasa sonr at reyna ooling jdanns klauf hringa slaer jpaut ulfr of hraevi 4 lausavisur og ubestemmelige brudstykker 1 sveggja let fyr
A	ara	skar	NOT-AGENT:kenning	"""ara braedis"" = eagle-feeder, a WARRIOR kenning; skar has the ship/king as subject (salt skar hufi)"	ungi eggrjooandi jdjooum magriusdrapa fim bar hir5 til homlu heryaebr ara braedis salt skar hufi heltum hraustr jpjobkonungr austan bpru brimlo
A	ara	skar	NOT-AGENT:kenning	"""ara braedis"" = eagle-feeder, a WARRIOR kenning; skar has the ship/king as subject (salt skar hufi)"	fra garderige 2 enn ungi eggrjedandi bauo thjooum i il thing fim hiro ara braedis bar hervaeor til homlu hraustr j65konungr skar austan salt he
A	hrafn	rista	NOT-AGENT:kenning	"""hrafn gaelir"" = raven-gladdener, WARRIOR kenning; rista has the gilded prows as subject"	rald finna 1 gramr sas geroir grund lykr stofnum norbr fra eyrarsundi hrafn gaelir sparn hpfn langskij3a haeli brandar golli glaestir rista hvast
A	sargammr	klauf	NOT-AGENT:separate	"sargammr ""wound-vulture"" tramps (thramma); klauf has gunnsproti (sword) as subject, different clause"	u klauf gunnsproti gunnar sarfikinn hlaut sara gunnlaugs hofu 3 runna sargammr enn p thramma 16 ullstrengr spuroi ordi skip rendusk hvatla at hve f
A	hrafn	hoggva	NOT-AGENT:name	"Hrafn is a MAN'S NAME here (Gisli/Bjorn material): ""I knew Hrafn to strike me""; hoggva is his sword-blow"	darlige jeg har hort noje stenkast bragede mod skibsiden drv 1 vissak hrafn hoggva mik hjaltugguqum hrynfiski brynju en hvoss egg kom i leggi hra
A	hrafni	hoggva	NOT-AGENT:name	same passage: dative of the personal name Hrafn	afn hoggva mik hjaltugguqum hrynfiski brynju en hvoss egg kom i leggi hrafni thas hraeskari hlaut vaoa fen hlyra benja gunn sproti gunnar runna kl
