text	value	surface	kind	subject	context
duran_v1_scanA	1000	mil	words	other	 varias, y en alguna parte ofrecia dar una coleccion completa de ellas. no la formo, o corrio la mala suerte que otros mil monumentos de su genero. algunas de aquellas nos hacen mas sensible y lamentable la perdida de ese deposito de la orato
duran_v1_scanA	1000000	millones	words-millon	person	ros, que serian 109 de la mar, ejercitada en aquel menester mas que en ardides de guerra se atreviesen a acometer a millones de indios que en la tierra auia, encaminada todo por la mano del supremo senor, que fue' su divina voluntad se cumplies
duran_v1_scanA	1000000	millones	words-millon	person	ntad se cumpliese lo a estas gentes prometido en la sagrada escriptura, y que trescientos hombres acometiesen a tantos millones de gentes, y que todos aquellos millones de gentes tuviesen un coraron tan asombrado y cobarde, que huyesen de los tre
duran_v1_scanA	1000000	millones	words-millon	person	tido en la sagrada escriptura, y que trescientos hombres acometiesen a tantos millones de gentes, y que todos aquellos millones de gentes tuviesen un coraron tan asombrado y cobarde, que huyesen de los trescientos, el qual hoy en el dia le tienen
duran_v1_scanA	1000	mil	words	other	, langostas que los afligian, granitos que les destruian sus simenteras que por los caminos renian sembrando, con odas mil maneras de trabajos y angustias que alio en sus historias: tambien es de creer que traian caudillos y sacerdotes que lo
duran_v1_scanA	820	ochocientos y veinte	words	other	a. salieron estas naciones indianas de aquellas siete cuevas, donde auian auitado mucho tiempo, el ano del senor de ochocientos y veinte: tardaron en llegar a esta tierra mas de ochenta anos, por las grandes pausas y demoras que venian haciendo ; conviene
duran_v1_scanA	602	seiscientos y dos	words	other	manera que los mexicanos poseyeron esta tierra trescientos y un anos despues que a ella llegaron, y las demas naciones seiscientos y dos. el de xuchimilco, como primero en su llegada, despues de auer rodeado todo el circuito de la laguna grande, pareciend
duran_v1_scanA	1000	mil	words	other	es de muchas diferencias, asi de la tierra como de espana, de donde se proveen todas las ciudades comarcanas; llena de mil diferencia de flores odoriferas, unas mejores que otras. riquisima de algodon, donde acude el trato de toda la tierra 
duran_v1_scanA	1000	mil	words	other	te en celada s, y otros que con mucho secreto les hurtasen las armas de rodelas y porras y espadas de palo, con otros mil generos de armas que para ofender tenian, y auiendoles fingido la paz y dado de comer, auiendoles hurtado las armas, es
duran_v1_scanA	1000	mil	words	other	" sitio donde puedan hacer una ciudad; mirad que lugar os parece que se les de.""' auido entre todos su consejo, lleno de mil contradiciones, demandas y respuestas, mostrandose •1 refierese probablemente al arma mexicana, llamada atlatl, espec"
duran_v1_scanA	420	y quatrocientos y veinte y	words	other	y itzcoatl, y los vecinos de la ciudad muy alegres y consolados con la election, la qual election fue el ano de r.ull y quatrocientos y veinte y qualro, luego einpeco a entablar las cosas de la guerra y a prouer en las cosas necesarias para ella. viendo y conocie
duran_v1_scanA	400	quatrocientas	words	person	y despues de dexar contentos a todos los principales y senores hermanos mios y tuyos, y que despues de auellos dado a quatrocientas baras 2 a cada uno, pues no uvo saco ni robo de que los soldados se suelen hacer pago de su trauajo, 1 vease la lamin
duran_v1_scanA	1000	mili	words	person	a un- lugar que llaman tecuitlatenco, hicieron alto y esperaron la armada de mexico que venian por la laguna, que eran mili canoas, muy bien ademadas de gente y paueses con gran numero de fisgas y varas arrojadicas, flechas y rodelas y de hombr
duran_v1_scanA	500	quinientos	words	person	iaron ser trescientos soldados valerosos, sin otra gente comun, que eran hasta ducientos, de manera que por todos eran quinientos chalcas, los quales los llenaron a mexico, y luego otro dia que llegaron, con parecer de tlacaeu i y del rey, sin mas 
duran_v1_scanA	500	quinientos	words	person	 sacrificados a su dios vitzilopochtli, cumpliendo el voto que auia hecho, y ensangrentaron el templo con la sangre de quinientos hombres, y haciendo un sacrificio de fuego, el mas terrible y orrendo que se pudo pensar, quel que uviere leido la rela
duran_v1_scanA	22000	diez y doce mili	words	person	 contender con ellos por tener las mas principales prouincias a su mandado y en su favor, pues a su voz salian dellas diez y doce mili hombres de guerra, todos muy bien aderezados, y si pedian veinte mili se los danan, y si quarenta mil lo mesmo, conform
duran_v1_scanA	20000	veinte mili	words	person	y en su favor, pues a su voz salian dellas diez y doce mili hombres de guerra, todos muy bien aderezados, y si pedian veinte mili se los danan, y si quarenta mil lo mesmo, conforme a lo que en sus contrarios sentian de valor y gente; y fueron tan po
duran_v1_scanA	40000	quarenta mil	words	other	alian dellas diez y doce mili hombres de guerra, todos muy bien aderezados, y si pedian veinte mili se los danan, y si quarenta mil lo mesmo, conforme a lo que en sus contrarios sentian de valor y gente; y fueron tan poderosos, que cien mil hombres qu
duran_v1_scanA	100000	cien mil	words	person	 y si quarenta mil lo mesmo, conforme a lo que en sus contrarios sentian de valor y gente; y fueron tan poderosos, que cien mil hombres que quixesen poner en campo. los ponian con mucha facilidad con solo mandallo. oyda esta nueva de la rebelio
duran_v1_scanA	1000	mil	words	person	ias y escuadrones para la guasteca. luego que la gente empego a salir, los viejos superticiosos y amigos de inventar mil cirimonias, auian ensenado a las mugeres de los que iban a la guerra a hacer algunas superaciones, las quales hacian y 
duran_v1_scanA	2000	dos mili	words	person	icieron echar en tierra, tendidos todos en el suelo con sus rodelas y espadas en las manos, como en celada, que serian dos mili hombres de todas las prouincias, j mandaron que los cubriesen con paja a todos, que no pareciese que alliauia hombre. lu
