sense	file	token_index	form	deciding_evidence	kwic
MOUSE	apuleius/apuleius2.txt	3708	musculos	"ad tui similes musculos recondis" - insult, "go hide with mice like you"	 illam quin abis inquam inpurata bestia teque ad tui similes [MUSCULOS] recondis antequam nostri vim praesentariam experiaris quin a
ANAT	apuleius/apuleius8.txt	4130	musculos	"morsibus suos incursantes musculos" - biting their own muscles	in circulum rotantes et nonnumquam morsibus suos incursantes [MUSCULOS] ad postremum ancipiti ferro quod gerebant sua quisque brachi
MIL	caesar/alex.txt	57	musculis	"testudinibus ac musculis aptantur"	ppidi partes quae minus esse firmae videntur testudinibus ac [MUSCULIS] aptantur ex aedificiis autem per foramina in proxima aedific
MIL	caesar/bc2.txt	1249	musculum	BC 2.10, the extended description of the musculus at Massilia	a turri quae circum essent opera tueri se posse confisi sunt [MUSCULUM] pedes lx longum ex materia bipedali quem a turri latericia a
MIL	caesar/bc2.txt	1268	musculi	BC 2.10, the extended description of the musculus at Massilia	ostium turrim murumque perducerent facere instituerunt cuius [MUSCULI] haec erat forma duae primum trabes in solo aeque longae dist
MIL	caesar/bc2.txt	1303	musculi	BC 2.10, the extended description of the musculus at Massilia	 inter se capreolis molli fastigio coniungunt ubi tigna quae [MUSCULI] tegendi causa ponant collocentur eo super tigna bipedalia in
MIL	caesar/bc2.txt	1319	musculi	BC 2.10, the extended description of the musculus at Massilia	edalia iniciunt eaque laminis clavisque religant ad extremum [MUSCULI] tectum trabesque extremas quadratas regulas iiii patentes di
MIL	caesar/bc2.txt	1333	musculo	BC 2.10, the extended description of the musculus at Massilia	egulas iiii patentes digitos defigunt quae lateres qui super [MUSCULO] struantur contineant ita fastigato atque ordinatim structo u
MIL	caesar/bc2.txt	1349	musculus	BC 2.10, the extended description of the musculus at Massilia	to ut trabes erant in capreolis collocatae lateribus lutoque [MUSCULUS] ut ab igni qui ex muro iaceretur tutus esset contegitur supe
MIL	caesar/bc2.txt	1418	musculum	BC 2.10, the extended description of the musculus at Massilia	am maxima possunt vectibus promovent praecipitataque muro in [MUSCULUM] devolvunt ictum firmitas materiae sustinet et quicquid incid
MIL	caesar/bc2.txt	1428	musculi	BC 2.10, the extended description of the musculus at Massilia	ctum firmitas materiae sustinet et quicquid incidit fastigio [MUSCULI] elabitur id ubi vident mutant consilium cupas taeda ac pice 
MIL	caesar/bc2.txt	1445	musculum	BC 2.10, the extended description of the musculus at Massilia	ium cupas taeda ac pice refertas incendunt easque de muro in [MUSCULUM] devolvunt involutae labuntur delapsae ab lateribus longuriis
MIL	caesar/bc2.txt	1459	musculo	BC 2.10, the extended description of the musculus at Massilia	ateribus longuriis furcisque ab opere removentur interim sub [MUSCULO] milites vectibus infima saxa turris hostium quibus fundament
MIL	caesar/bc2.txt	1470	musculus	BC 2.10, the extended description of the musculus at Massilia	xa turris hostium quibus fundamenta continebantur convellunt [MUSCULUS] ex turri latericia a nostris telis tormentisque defenditur h
MIL	caesar/bc2.txt	1818	musculum	BC 2.10, the extended description of the musculus at Massilia	ntes persequi prohibentur illi sub murum se recipiunt ibique [MUSCULUM] turrimque latericiam libere incendunt ita multorum mensium l
